from_node,to_node
simulated25041158_226352,substation_site226352
span5592948,node505593889
span5590621,node505046114
span5481809,node503418561
span6779650,node525205581
span5590620,substation_site223975
span5481814,node503418586
span5599290,node505626288
span5637099,node505827036
span5595129,node505604944
internal_conductor152074,node49186153
span5481021,node503414528
span5484407,node503444727
span5592942,node505593859
span5481014,node503414493
internal_conductor152055,node49186041
span5592944,node505593869
span5637102,node505827051
span5592934,node505593819
internal_conductor152078,node49186097
span5592936,node505593829
span5601223,node505636194
span5525771,node504171109
span5596331,node505611470
span6856528,node526147666
span5601912,node25437017
span5589517,node505040465
span5538113,node504767141
internal_conductor152080,node49186065
cable4459727,service_point2990980
span6620638,node24975615
span5481812,node503418576
span5524931,node25165170
span5589499,node505040375
internal_conductor152075,node24961482
span6546421,node520728189
span5821044,node507865691
span5595134,node505604969
span5821059,node507865766
simulated276125679_276125688,node276125688
span5589502,node505040390
span6877057,service_point3064778
span5475755,node503386173
span5592954,node505593919
span5589511,node505040435
span5598796,node503668929
internal_conductor152064,fuse_switch10898
span5535060,substation_site222574
span5589512,node505040440
span5589505,node505040405
span6371030,node518200179
span5601913,node505639636
span6371029,node518200174
simulated129294914_227742,node129294914
span5637098,node505827031
span5637117,node505827126
span5601914,node505639641
span5481811,node503418571
span5821047,node507865706
span5590622,node505046119
span5637100,node505827041
span6371037,node518200214
span5600587,node505632860
simulated54247360_212347,node54247360
span5589515,node505040455
cable4761420,service_point2991000
